"datetime","lake","depth","variable","unit","observation"
1995-05-09 00:00:00,"Mendota",0,"do","MilliGM-PER-L",13.2
1995-05-09 00:00:00,"Mendota",1,"do","MilliGM-PER-L",13.1
1995-05-09 00:00:00,"Mendota",2,"do","MilliGM-PER-L",13.2
1995-05-09 00:00:00,"Mendota",3,"do","MilliGM-PER-L",13.2
1995-05-09 00:00:00,"Mendota",4,"do","MilliGM-PER-L",13.2
1995-05-09 00:00:00,"Mendota",5,"do","MilliGM-PER-L",13.1
1995-05-09 00:00:00,"Mendota",6,"do","MilliGM-PER-L",13.1
1995-05-09 00:00:00,"Mendota",7,"do","MilliGM-PER-L",13.1
1995-05-09 00:00:00,"Mendota",8,"do","MilliGM-PER-L",13.1
1995-05-09 00:00:00,"Mendota",9,"do","MilliGM-PER-L",13.1
1995-05-09 00:00:00,"Mendota",10,"do","MilliGM-PER-L",13.1
1995-05-09 00:00:00,"Mendota",11,"do","MilliGM-PER-L",13.1
1995-05-09 00:00:00,"Mendota",12,"do","MilliGM-PER-L",13.1
1995-05-09 00:00:00,"Mendota",13,"do","MilliGM-PER-L",13.1
1995-05-09 00:00:00,"Mendota",14,"do","MilliGM-PER-L",13
1995-05-09 00:00:00,"Mendota",15,"do","MilliGM-PER-L",13
1995-05-09 00:00:00,"Mendota",16,"do","MilliGM-PER-L",13.1
1995-05-09 00:00:00,"Mendota",17,"do","MilliGM-PER-L",13
1995-05-09 00:00:00,"Mendota",18,"do","MilliGM-PER-L",13
1995-05-09 00:00:00,"Mendota",20,"do","MilliGM-PER-L",13
1995-05-09 00:00:00,"Mendota",21,"do","MilliGM-PER-L",12.9
1995-05-09 00:00:00,"Mendota",22,"do","MilliGM-PER-L",13.1
1995-05-09 00:00:00,"Mendota",23,"do","MilliGM-PER-L",13
1995-05-23 00:00:00,"Mendota",0,"do","MilliGM-PER-L",9.2
1995-05-23 00:00:00,"Mendota",1,"do","MilliGM-PER-L",9.2
1995-05-23 00:00:00,"Mendota",2,"do","MilliGM-PER-L",9.3
1995-05-23 00:00:00,"Mendota",3,"do","MilliGM-PER-L",9.3
1995-05-23 00:00:00,"Mendota",4,"do","MilliGM-PER-L",9.5
1995-05-23 00:00:00,"Mendota",5,"do","MilliGM-PER-L",9.6
1995-05-23 00:00:00,"Mendota",6,"do","MilliGM-PER-L",9.6
1995-05-23 00:00:00,"Mendota",7,"do","MilliGM-PER-L",9.5
1995-05-23 00:00:00,"Mendota",8,"do","MilliGM-PER-L",9.4
1995-05-23 00:00:00,"Mendota",9,"do","MilliGM-PER-L",9.2
1995-05-23 00:00:00,"Mendota",10,"do","MilliGM-PER-L",9.1
1995-05-23 00:00:00,"Mendota",11,"do","MilliGM-PER-L",9.1
1995-05-23 00:00:00,"Mendota",12,"do","MilliGM-PER-L",9.1
1995-05-23 00:00:00,"Mendota",13,"do","MilliGM-PER-L",9
1995-05-23 00:00:00,"Mendota",14,"do","MilliGM-PER-L",8.9
1995-05-23 00:00:00,"Mendota",15,"do","MilliGM-PER-L",9.3
1995-05-23 00:00:00,"Mendota",16,"do","MilliGM-PER-L",9.3
1995-05-23 00:00:00,"Mendota",17,"do","MilliGM-PER-L",9.1
1995-05-23 00:00:00,"Mendota",18,"do","MilliGM-PER-L",9
1995-05-23 00:00:00,"Mendota",19,"do","MilliGM-PER-L",7.3
